"Kingdom" "Phylum" "Class" "Order" "Family" "Genus" "Species"
"ASV213" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Agaricales" "f__Psathyrellaceae" "g__Coprinopsis" "s__friesii"
"ASV214" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" "f__Hyaloscyphaceae" "g__Lachnum" NA
"ASV215" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Glomerales" "f__Glomeraceae" NA NA
"ASV219" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Sordariales" "f__Lasiosphaeriaceae" NA NA
"ASV220" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Nectriaceae" "g__Nectria" "s__ramulariae"
"ASV221" "k__Fungi" "p__Basidiomycota" "c__Ustilaginomycetes" "o__Ustilaginales" "f__Ustilaginaceae" "g__Ustilago" NA
"ASV222" "k__Fungi" "p__Mucoromycota" "c__Mucoromycetes" "o__Mucorales" "f__Mucoraceae" "g__Mucor" "s__hiemalis"
"ASV224" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Tubeufiales" "f__Tubeufiaceae" NA NA
"ASV225" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Glomerales" "f__Glomeraceae" "g__Septoglomus" "s__viscosum"
"ASV226" "k__Fungi" "p__Ascomycota" "c__Pezizomycetes" "o__Pezizales" "f__Pyronemataceae" "g__Scutellinia" NA
"ASV227" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Agaricales" "f__Marasmiaceae" "g__Marasmius" NA
"ASV228" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" NA NA NA NA
"ASV230" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Glomerellales" "f__Glomerellaceae" "g__Colletotrichum" "s__spaethianum"
"ASV231" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Rhytismatales" "f__Rhytismatales_fam_Incertae_sedis" "g__Karstenia" "s__macer"
"ASV232" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Amniculicolaceae" "g__Murispora" NA
"ASV234" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" "f__Helotiaceae" "g__Articulospora" "s__proliferata"
